Year,Indicators of agriculture production,Value
2015,Amount of fruit production (tons),1.5
2016,Amount of fruit production (tons),1.5
2017,Amount of fruit production (tons),1.2
2018,Amount of fruit production (tons),1.2
2019,Amount of fruit production (tons),1.0
2020,Amount of fruit production (tons),1.1
2021,Amount of fruit production (tons),2.8
2022,Amount of fruit production (tons),62.0
2023,Amount of fruit production (tons),78.0
2024,Amount of fruit production (tons),97.5
